Date,Ticker,Open,High,Low,Close,Volume
11/29/2018,VOO,251.54,253.25,250.36,251.81,"3,279,417"
11/28/2018,VOO,247.72,252.33,246.75,252.33,"3,723,260"
11/27/2018,VOO,244.73,246.6,244.12,246.57,"2,849,731"
11/26/2018,VOO,244.23,245.84,243.85,245.8,"2,498,530"
11/23/2018,VOO,241.8,243.35,241.73,242.01,"830,910"
11/21/2018,VOO,244.24,245.44,243.52,243.58,"2,425,494"
11/20/2018,VOO,243.84,245.32,241.83,242.77,"5,000,937"
11/19/2018,VOO,250.94,251.21,246.35,247.32,"2,973,794"
11/16/2018,VOO,249.77,252.47,249.26,251.49,"2,342,780"
11/15/2018,VOO,247.02,251.39,245.43,250.85,"3,903,480"
11/14/2018,VOO,251.96,252.34,246.66,248.28,"3,619,875"
11/13/2018,VOO,250.96,253.01,249.28,249.99,"3,097,001"
11/12/2018,VOO,254.69,254.96,249.95,250.41,"2,710,563"
11/09/2018,VOO,256.5,256.64,253.81,255.34,"3,078,726"
11/08/2018,VOO,257.49,258.44,256.65,257.72,"2,467,027"
11/07/2018,VOO,255.07,258.32,254.65,258.16,"3,090,762"
11/06/2018,VOO,251.18,252.98,251.12,252.82,"2,255,176"
11/05/2018,VOO,250.32,251.79,249.39,251.23,"1,912,193"
11/02/2018,VOO,252.44,252.9,247.75,249.81,"3,184,459"
11/01/2018,VOO,249.63,251.54,248.46,251.37,"2,870,694"
10/31/2018,VOO,248.72,251.08,248.27,248.79,"4,073,392"
10/30/2018,VOO,242.31,246.38,241.8,246.21,"3,619,131"
10/29/2018,VOO,247.03,248.35,238.79,242.5,"5,126,245"
10/26/2018,VOO,244.34,246.98,241.04,243.76,"5,278,769"
10/25/2018,VOO,245.71,249.79,244.67,248.15,"4,443,798"
10/24/2018,VOO,251.19,251.55,243.25,243.78,"4,065,746"
10/23/2018,VOO,249,252.58,246.84,251.28,"5,206,532"
10/22/2018,VOO,254.55,254.86,252.17,252.8,"2,101,976"
10/19/2018,VOO,254.67,256.62,253.15,253.85,"2,684,216"
10/18/2018,VOO,256.75,257.35,252.69,254.05,"3,046,804"
10/17/2018,VOO,257.75,258.34,255.07,257.67,"2,845,791"
10/16/2018,VOO,254.14,258.1,253.7,257.58,"3,308,475"
10/15/2018,VOO,253.19,254.56,252.04,252.21,"3,306,202"
10/12/2018,VOO,254.39,254.64,250.3,253.6,"7,116,658"
10/11/2018,VOO,254.81,256.29,248.45,250.22,"9,037,039"
10/10/2018,VOO,263.62,263.62,255.37,255.6,"5,803,925"
10/09/2018,VOO,264.1,265.45,263.55,264.13,"2,078,186"
10/08/2018,VOO,263.77,264.85,262.38,264.47,"3,219,556"
10/05/2018,VOO,266.19,266.77,263.02,264.54,"2,564,702"
10/04/2018,VOO,267.57,267.66,264.37,266.04,"5,004,396"
10/03/2018,VOO,269.02,269.47,267.72,268.24,"2,505,783"
10/02/2018,VOO,267.97,268.67,267.55,268.01,"3,034,122"
10/01/2018,VOO,268.46,269.18,267.39,268.04,"1,969,245"
09/28/2018,VOO,266.5,267.65,266.43,267.05,"1,774,303"
09/27/2018,VOO,266.88,268.24,266.6,267.08,"3,077,514"
09/26/2018,VOO,267.32,268.54,265.95,266.34,"2,568,392"
09/25/2018,VOO,269.1,269.17,268.15,268.33,"2,360,730"
09/24/2018,VOO,268.93,269.07,268.02,268.66,"2,070,891"
09/21/2018,VOO,270.55,270.67,269.37,269.56,"1,352,509"
09/20/2018,VOO,268.89,270.1,268.79,269.75,"3,349,666"
09/19/2018,VOO,267.35,268.03,267.23,267.6,"2,077,480"
09/18/2018,VOO,266.1,267.92,266.09,267.3,"1,823,641"
09/17/2018,VOO,267.22,267.26,265.59,265.85,"2,515,315"
09/14/2018,VOO,267.47,267.62,266.47,267.36,"1,860,996"
09/13/2018,VOO,266.78,267.42,266.47,267.22,"2,087,871"
09/12/2018,VOO,265.61,266.26,264.83,265.71,"3,019,831"
09/11/2018,VOO,264.03,266.05,263.68,265.68,"3,420,386"
09/10/2018,VOO,265.28,265.57,264.51,264.68,"2,832,699"
09/07/2018,VOO,263.63,265.26,263.45,264.18,"2,634,408"
09/06/2018,VOO,265.69,265.99,263.7,264.82,"1,687,900"
09/05/2018,VOO,265.91,266.13,264.52,265.6,"4,595,466"
09/04/2018,VOO,266.35,266.66,265.26,266.35,"3,623,299"
08/31/2018,VOO,266.33,267.22,265.83,266.72,"3,172,354"
08/30/2018,VOO,267.31,267.71,266.12,266.71,"2,625,499"
08/29/2018,VOO,266.59,268.05,266.34,267.8,"2,116,106"
08/28/2018,VOO,266.76,266.83,265.89,266.34,"3,027,196"
08/27/2018,VOO,265.38,266.35,265.26,266.19,"2,370,987"
08/24/2018,VOO,263.16,264.29,263.11,264.2,"2,329,248"
08/23/2018,VOO,262.68,263.63,262.21,262.55,"2,308,144"
08/22/2018,VOO,262.64,263.45,262.39,262.93,"1,708,066"
08/21/2018,VOO,263.01,263.97,262.86,263.01,"1,937,866"
