slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread,SMA_20,SMA_50,SMA_200,RSI,Upper_Band,Middle_Band,Lower_Band
bitcoin,BTC,Bitcoin,2015-01-01,1,320.43,320.43,314.0,314.25,8036550.0,4297535768.0,0.0389,6.43,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-02,1,314.08,315.84,313.57,315.03,7860650.0,4309551126.0,0.6432,2.27,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-03,1,314.85,315.15,281.08,281.08,33054400.0,3846269872.0,0.0,34.07,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-04,1,281.15,287.23,257.61,264.2,55629100.0,3616320975.0,0.2225,29.62,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-05,1,265.08,278.34,265.08,274.47,43962800.0,3758098008.0,0.7081,13.26,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-06,1,274.61,287.55,272.7,286.19,23245700.0,3919623080.0,0.9084,14.85,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-07,1,286.08,298.75,283.08,294.34,24866800.0,4032255015.0,0.7186,15.67,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-08,1,294.14,294.14,282.17,283.35,19982500.0,3882766766.0,0.0986,11.97,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-09,1,282.38,291.11,280.53,290.41,18718600.0,3980426431.0,0.9338,10.58,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-10,1,287.3,288.13,273.97,274.8,15264300.0,3767535599.0,0.0586,14.16,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-11,1,274.61,279.64,265.04,265.66,18200800.0,3643307731.0,0.0425,14.6,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-12,1,266.15,272.2,265.2,267.8,18880300.0,3673551884.0,0.3714,7.0,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-13,1,267.39,268.28,219.91,225.86,72843904.0,3099004902.0,0.123,48.37,,,,,,,
bitcoin,BTC,Bitcoin,2015-01-14,1,223.89,223.89,171.51,178.1,97638704.0,2444379076.0,0.1258,52.38,,,,14.832433018711043,,,
bitcoin,BTC,Bitcoin,2015-01-15,1,176.9,229.07,176.9,209.84,81773504.0,2880801385.0,0.6314,52.17,,,,29.872155850662878,,,
bitcoin,BTC,Bitcoin,2015-01-16,1,209.07,221.59,199.77,208.1,38421000.0,2857541182.0,0.3818,21.82,,,,29.563940039402326,,,
bitcoin,BTC,Bitcoin,2015-01-17,1,207.83,211.73,194.88,199.26,23469700.0,2736875952.0,0.2599,16.85,,,,27.984188576022532,,,
bitcoin,BTC,Bitcoin,2015-01-18,1,200.05,218.7,194.51,210.34,30085100.0,2889858038.0,0.6544,24.19,,,,32.829037131922874,,,
bitcoin,BTC,Bitcoin,2015-01-19,1,211.47,216.73,207.32,214.86,18658300.0,2952759522.0,0.8013,9.41,,,,34.75730600641654,,,
bitcoin,BTC,Bitcoin,2015-01-20,1,212.91,215.24,205.15,211.32,24051100.0,2904651464.0,0.6115,10.09,253.46300000000002,,,33.93564692334847,334.80274627449984,253.46300000000002,172.1232537255002
bitcoin,BTC,Bitcoin,2015-01-21,1,211.38,227.79,211.21,226.9,29924600.0,3119680595.0,0.9463,16.58,249.0955,,,40.59204147466255,326.17961521837685,249.0955,172.0113847816231
bitcoin,BTC,Bitcoin,2015-01-22,1,227.32,237.02,226.43,233.41,33544600.0,3209962696.0,0.6591,10.59,245.0145,,,43.168704608487474,316.1135710136216,245.0145,173.9154289863784
bitcoin,BTC,Bitcoin,2015-01-23,1,233.52,234.85,225.2,232.88,24621700.0,3203436948.0,0.7959,9.65,242.6045,,,43.00516865979009,311.89483597118726,242.6045,173.31416402881274
bitcoin,BTC,Bitcoin,2015-01-24,1,232.7,248.21,230.02,247.85,24782500.0,3410114481.0,0.9802,18.19,241.78699999999998,,,48.89421407523204,310.4215930562716,241.78699999999998,173.15240694372835
bitcoin,BTC,Bitcoin,2015-01-25,1,247.35,255.07,243.89,253.72,33582700.0,3491686145.0,0.8792,11.18,240.74950000000004,,,51.030861570479594,307.98970626827384,240.74950000000004,173.50929373172625
bitcoin,BTC,Bitcoin,2015-01-26,1,254.08,309.38,254.08,273.47,106794000.0,3764417376.0,0.3506,55.3,240.1135,,,57.47314406382339,305.84618419135194,240.1135,174.38081580864804
bitcoin,BTC,Bitcoin,2015-01-27,1,273.17,275.48,250.65,263.48,44399000.0,3627760928.0,0.5167,24.83,238.57050000000004,,,53.629822415757005,300.47654476947315,238.57050000000004,176.66445523052693
bitcoin,BTC,Bitcoin,2015-01-28,1,263.35,266.54,227.05,233.91,44352200.0,3221728839.0,0.1737,39.49,236.0985,,,44.20660057177001,294.504138178176,236.0985,177.692861821824
bitcoin,BTC,Bitcoin,2015-01-29,1,233.35,238.71,220.71,233.51,32213400.0,3217149466.0,0.7111,18.0,233.25350000000003,,,44.093734531210636,286.07617250906577,233.25350000000003,180.4308274909343
bitcoin,BTC,Bitcoin,2015-01-30,1,232.77,242.85,225.84,226.43,26605200.0,3120272355.0,0.0347,17.01,230.83499999999998,,,42.04741512594466,280.13944057080465,230.83499999999998,181.53055942919528
bitcoin,BTC,Bitcoin,2015-01-31,1,226.44,233.5,216.31,217.46,23348200.0,2997692311.0,0.0669,17.19,228.425,,,39.54352217232738,275.3389367352604,228.425,181.51106326473965
bitcoin,BTC,Bitcoin,2015-02-01,1,216.87,231.57,212.01,226.97,29128500.0,3129637468.0,0.7648,19.56,226.3835,,,43.39231560262649,269.68005703401843,226.3835,183.08694296598154
