slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,2015-01-01,1,320.43,320.43,314.0,314.25,8036550.0,4297535768.0,0.0389,6.43
bitcoin,BTC,Bitcoin,2015-01-02,1,314.08,315.84,313.57,315.03,7860650.0,4309551126.0,0.6432,2.27
bitcoin,BTC,Bitcoin,2015-01-03,1,314.85,315.15,281.08,281.08,33054400.0,3846269872.0,0.0,34.07
bitcoin,BTC,Bitcoin,2015-01-04,1,281.15,287.23,257.61,264.2,55629100.0,3616320975.0,0.2225,29.62
bitcoin,BTC,Bitcoin,2015-01-05,1,265.08,278.34,265.08,274.47,43962800.0,3758098008.0,0.7081,13.26
bitcoin,BTC,Bitcoin,2015-01-06,1,274.61,287.55,272.7,286.19,23245700.0,3919623080.0,0.9084,14.85
bitcoin,BTC,Bitcoin,2015-01-07,1,286.08,298.75,283.08,294.34,24866800.0,4032255015.0,0.7186,15.67
bitcoin,BTC,Bitcoin,2015-01-08,1,294.14,294.14,282.17,283.35,19982500.0,3882766766.0,0.0986,11.97
bitcoin,BTC,Bitcoin,2015-01-09,1,282.38,291.11,280.53,290.41,18718600.0,3980426431.0,0.9338,10.58
bitcoin,BTC,Bitcoin,2015-01-10,1,287.3,288.13,273.97,274.8,15264300.0,3767535599.0,0.0586,14.16
bitcoin,BTC,Bitcoin,2015-01-11,1,274.61,279.64,265.04,265.66,18200800.0,3643307731.0,0.0425,14.6
bitcoin,BTC,Bitcoin,2015-01-12,1,266.15,272.2,265.2,267.8,18880300.0,3673551884.0,0.3714,7.0
bitcoin,BTC,Bitcoin,2015-01-13,1,267.39,268.28,219.91,225.86,72843904.0,3099004902.0,0.123,48.37
bitcoin,BTC,Bitcoin,2015-01-14,1,223.89,223.89,171.51,178.1,97638704.0,2444379076.0,0.1258,52.38
bitcoin,BTC,Bitcoin,2015-01-15,1,176.9,229.07,176.9,209.84,81773504.0,2880801385.0,0.6314,52.17
bitcoin,BTC,Bitcoin,2015-01-16,1,209.07,221.59,199.77,208.1,38421000.0,2857541182.0,0.3818,21.82
bitcoin,BTC,Bitcoin,2015-01-17,1,207.83,211.73,194.88,199.26,23469700.0,2736875952.0,0.2599,16.85
bitcoin,BTC,Bitcoin,2015-01-18,1,200.05,218.7,194.51,210.34,30085100.0,2889858038.0,0.6544,24.19
bitcoin,BTC,Bitcoin,2015-01-19,1,211.47,216.73,207.32,214.86,18658300.0,2952759522.0,0.8013,9.41
bitcoin,BTC,Bitcoin,2015-01-20,1,212.91,215.24,205.15,211.32,24051100.0,2904651464.0,0.6115,10.09
bitcoin,BTC,Bitcoin,2015-01-21,1,211.38,227.79,211.21,226.9,29924600.0,3119680595.0,0.9463,16.58
bitcoin,BTC,Bitcoin,2015-01-22,1,227.32,237.02,226.43,233.41,33544600.0,3209962696.0,0.6591,10.59
bitcoin,BTC,Bitcoin,2015-01-23,1,233.52,234.85,225.2,232.88,24621700.0,3203436948.0,0.7959,9.65
bitcoin,BTC,Bitcoin,2015-01-24,1,232.7,248.21,230.02,247.85,24782500.0,3410114481.0,0.9802,18.19
bitcoin,BTC,Bitcoin,2015-01-25,1,247.35,255.07,243.89,253.72,33582700.0,3491686145.0,0.8792,11.18
bitcoin,BTC,Bitcoin,2015-01-26,1,254.08,309.38,254.08,273.47,106794000.0,3764417376.0,0.3506,55.3
bitcoin,BTC,Bitcoin,2015-01-27,1,273.17,275.48,250.65,263.48,44399000.0,3627760928.0,0.5167,24.83
bitcoin,BTC,Bitcoin,2015-01-28,1,263.35,266.54,227.05,233.91,44352200.0,3221728839.0,0.1737,39.49
bitcoin,BTC,Bitcoin,2015-01-29,1,233.35,238.71,220.71,233.51,32213400.0,3217149466.0,0.7111,18.0
bitcoin,BTC,Bitcoin,2015-01-30,1,232.77,242.85,225.84,226.43,26605200.0,3120272355.0,0.0347,17.01
bitcoin,BTC,Bitcoin,2015-01-31,1,226.44,233.5,216.31,217.46,23348200.0,2997692311.0,0.0669,17.19
bitcoin,BTC,Bitcoin,2015-02-01,1,216.87,231.57,212.01,226.97,29128500.0,3129637468.0,0.7648,19.56
bitcoin,BTC,Bitcoin,2015-02-02,1,226.49,242.18,222.66,238.23,30612100.0,3285797305.0,0.7976,19.52
bitcoin,BTC,Bitcoin,2015-02-03,1,237.45,245.96,224.48,227.27,40783700.0,3135343874.0,0.1299,21.48
bitcoin,BTC,Bitcoin,2015-02-04,1,227.51,230.06,221.11,226.85,26594300.0,3130520358.0,0.6413,8.95
bitcoin,BTC,Bitcoin,2015-02-05,1,227.66,239.4,214.73,217.11,22516400.0,2996945966.0,0.0965,24.67
bitcoin,BTC,Bitcoin,2015-02-06,1,216.92,230.51,216.23,222.27,24435300.0,3069076711.0,0.423,14.28
bitcoin,BTC,Bitcoin,2015-02-07,1,222.63,230.3,222.61,227.75,21604200.0,3145761023.0,0.6684,7.69
bitcoin,BTC,Bitcoin,2015-02-08,1,227.69,229.44,221.08,223.41,17145200.0,3086537315.0,0.2787,8.36
bitcoin,BTC,Bitcoin,2015-02-09,1,223.39,223.98,217.02,220.11,27791300.0,3041799140.0,0.444,6.96
bitcoin,BTC,Bitcoin,2015-02-10,1,220.28,221.81,215.33,219.84,21115100.0,3038850985.0,0.696,6.48
bitcoin,BTC,Bitcoin,2015-02-11,1,219.73,223.41,218.07,219.18,17201900.0,3030676475.0,0.2079,5.34
bitcoin,BTC,Bitcoin,2015-02-12,1,219.21,222.2,217.61,221.76,15206200.0,3066996120.0,0.9041,4.59
bitcoin,BTC,Bitcoin,2015-02-13,1,221.97,240.26,221.26,235.43,42744400.0,3256814719.0,0.7458,19.0
