date,Ticker,Open,High,Low,Close,Volume
2015-01-01,VOO,190.75,190.91,188.38,188.4,"1,365,995"
2015-01-02,VOO,189.29,189.72,187.26,188.4,"1,864,986"
2015-01-03,VOO,189.29,189.72,187.26,188.4,"1,864,986"
2015-01-04,VOO,189.29,189.72,187.26,188.4,"1,864,986"
2015-01-05,VOO,187.26,187.41,184.66,185.09,"2,734,710"
2015-01-06,VOO,185.37,185.88,182.36,183.27,"2,245,280"
2015-01-07,VOO,184.73,185.91,184.23,185.56,"2,305,552"
2015-01-08,VOO,187.13,189.05,187.07,188.82,"1,740,575"
2015-01-09,VOO,189.3,189.34,186.65,187.23,"2,525,225"
2015-01-10,VOO,189.3,189.34,186.65,187.23,"2,525,225"
2015-01-11,VOO,189.3,189.34,186.65,187.23,"2,525,225"
2015-01-12,VOO,187.46,187.6,185.19,185.84,"1,847,548"
2015-01-13,VOO,187.22,188.41,183.9,185.35,"2,158,515"
2015-01-14,VOO,183.1,184.4,182.11,184.26,"5,216,290"
2015-01-15,VOO,184.88,185.25,182.4,182.54,"1,940,747"
2015-01-16,VOO,182.31,185.08,182.09,184.8,"1,472,796"
2015-01-17,VOO,182.31,185.08,182.09,184.8,"1,472,796"
2015-01-18,VOO,182.31,185.08,182.09,184.8,"1,472,796"
2015-01-19,VOO,182.31,185.08,182.09,184.8,"1,472,796"
2015-01-20,VOO,185.62,185.9,183.58,185.26,"1,637,624"
2015-01-21,VOO,184.77,186.74,184.3,186.23,"1,586,514"
2015-01-22,VOO,187.09,189.15,185.6,189.08,"6,074,860"
2015-01-23,VOO,188.72,189.02,187.79,188.04,"3,109,762"
2015-01-24,VOO,188.72,189.02,187.79,188.04,"3,109,762"
2015-01-25,VOO,188.72,189.02,187.79,188.04,"3,109,762"
2015-01-26,VOO,187.79,188.51,186.93,188.41,"2,018,019"
2015-01-27,VOO,186.14,187.18,185.02,185.94,"1,979,085"
2015-01-28,VOO,187.27,187.32,183.35,183.49,"2,530,752"
2015-01-29,VOO,183.74,185.53,182.21,185.27,"4,338,151"
2015-01-30,VOO,183.96,185.38,182.63,182.99,"2,302,466"
2015-01-31,VOO,183.96,185.38,182.63,182.99,"2,302,466"
2015-02-01,VOO,183.96,185.38,182.63,182.99,"2,302,466"
2015-02-02,VOO,183.5,185.26,181.47,185.09,"3,397,836"
2015-02-03,VOO,186.13,187.86,185.79,187.79,"1,435,021"
2015-02-04,VOO,187.03,188.35,186.65,187.15,"1,861,200"
2015-02-05,VOO,187.89,189.19,187.85,189.05,"1,033,759"
2015-02-06,VOO,189.49,190.05,187.94,188.52,"1,454,708"
2015-02-07,VOO,189.49,190.05,187.94,188.52,"1,454,708"
2015-02-08,VOO,189.49,190.05,187.94,188.52,"1,454,708"
2015-02-09,VOO,187.81,188.59,187.22,187.66,"2,289,295"
2015-02-10,VOO,188.82,189.93,187.85,189.66,"1,798,005"
2015-02-11,VOO,189.51,190.23,188.78,189.79,"1,744,393"
2015-02-12,VOO,190.7,191.65,190.47,191.55,"2,008,510"
2015-02-13,VOO,191.72,192.44,191.46,192.39,"1,073,112"
2015-02-14,VOO,191.72,192.44,191.46,192.39,"1,073,112"
2015-02-15,VOO,191.72,192.44,191.46,192.39,"1,073,112"
2015-02-16,VOO,191.72,192.44,191.46,192.39,"1,073,112"
2015-02-17,VOO,192.07,192.88,191.79,192.7,"1,700,425"
